TS,average
2020-06-05 00:01:59,24.253174603174596
2020-06-05 00:06:49,24.307936507936507
2020-06-05 00:11:58,24.288888888888888
2020-06-05 00:16:50,24.239682539682537
2020-06-05 00:21:59,24.351587301587305
2020-06-05 00:26:50,24.278571428571432
2020-06-05 00:31:59,24.30952380952381
2020-06-05 00:36:49,24.327777777777776
2020-06-05 00:41:58,24.456349206349206
2020-06-05 00:46:59,24.362698412698414
2020-06-05 00:51:49,24.364285714285714
2020-06-05 00:56:58,24.40238095238095
2020-06-05 01:01:59,24.389682539682543
2020-06-05 01:06:49,24.40396825396825
2020-06-05 01:11:58,24.37142857142857
2020-06-05 01:16:49,24.465079365079365
2020-06-05 01:21:59,24.35238095238096
2020-06-05 01:26:52,24.31825396825397
2020-06-05 01:31:58,24.41825396825397
2020-06-05 01:36:53,24.39920634920635
2020-06-05 01:41:54,24.403968253968255
2020-06-05 01:46:58,24.50714285714286
2020-06-05 01:51:55,24.477777777777778
2020-06-05 01:56:52,24.46904761904762
2020-06-05 02:01:58,24.427777777777777
2020-06-05 02:06:50,24.330952380952382
2020-06-05 02:11:58,24.397619047619045
2020-06-05 02:16:59,24.373809523809523
2020-06-05 02:22:00,24.453968253968256
2020-06-05 02:26:49,24.374603174603177
2020-06-05 02:31:58,24.473809523809525
2020-06-05 02:36:58,24.483333333333334
2020-06-05 02:41:59,24.423015873015874
2020-06-05 02:46:55,24.483333333333338
2020-06-05 02:51:59,24.40952380952381
2020-06-05 02:56:50,24.542857142857148
2020-06-05 03:01:59,24.492063492063497
2020-06-05 03:07:00,24.592063492063488
2020-06-05 03:12:00,24.500793650793657
2020-06-05 03:16:49,24.491269841269833
2020-06-05 03:21:58,24.665873015873018
2020-06-05 03:26:58,24.606349206349208
2020-06-05 03:31:51,24.680952380952384
2020-06-05 03:36:57,24.65238095238095
2020-06-05 03:41:58,24.645238095238092
2020-06-05 03:46:50,24.623809523809527
2020-06-05 03:51:58,24.622222222222224
2020-06-05 03:56:50,24.57142857142857
2020-06-05 04:01:58,24.50873015873016
2020-06-05 04:06:58,24.69920634920635
2020-06-05 04:11:59,24.526984126984125
2020-06-05 04:16:59,24.241269841269844
2020-06-05 04:21:49,24.40634920634921
2020-06-05 04:26:58,24.469047619047622
2020-06-05 04:31:59,24.53968253968254
2020-06-05 04:36:49,24.588888888888885
2020-06-05 04:41:59,24.592063492063488
2020-06-05 04:46:50,24.555555555555557
2020-06-05 04:51:58,24.62619047619048
2020-06-05 04:57:00,24.607142857142858
2020-06-05 05:01:49,24.634920634920636
2020-06-05 05:06:57,24.66190476190476
2020-06-05 05:12:00,24.68888888888889
2020-06-05 05:16:49,24.62380952380952
2020-06-05 05:21:59,24.5547619047619
2020-06-05 05:27:00,24.754761904761896
2020-06-05 05:31:49,24.799999999999997
2020-06-05 05:36:58,24.696031746031746
2020-06-05 05:41:49,24.581746031746032
2020-06-05 05:46:58,24.641269841269843
2020-06-05 05:51:58,24.68174603174603
2020-06-05 05:56:50,24.761904761904763
2020-06-05 06:01:57,24.77460317460317
2020-06-05 06:06:58,24.70714285714286
2020-06-05 06:11:58,24.421428571428574
2020-06-05 06:16:49,24.2952380952381
2020-06-05 06:21:58,24.004761904761903
2020-06-05 06:26:59,23.665873015873014
2020-06-05 06:31:49,23.700000000000003
2020-06-05 06:36:58,23.640476190476196
2020-06-05 06:41:50,23.47380952380952
2020-06-05 06:46:58,23.77063492063492
2020-06-05 06:51:59,23.528571428571425
2020-06-05 06:56:53,23.576190476190476
2020-06-05 07:01:55,23.615873015873014
2020-06-05 07:06:59,23.426190476190477
2020-06-05 07:11:51,23.45079365079366
2020-06-05 07:16:56,23.434920634920637
2020-06-05 07:22:01,23.500793650793653
2020-06-05 07:26:49,23.55
2020-06-05 07:31:57,23.73174603174603
2020-06-05 07:36:58,23.55952380952381
2020-06-05 07:41:53,23.462698412698415
2020-06-05 07:46:55,23.58095238095238
2020-06-05 07:51:57,23.474603174603175
2020-06-05 07:56:58,23.544444444444444
2020-06-05 08:01:59,23.546031746031748
2020-06-05 08:06:49,23.66190476190476
2020-06-05 08:11:58,23.622222222222224
2020-06-05 08:16:49,23.650793650793652
2020-06-05 08:21:58,23.545238095238094
2020-06-05 08:26:58,23.67539682539683
2020-06-05 08:31:49,23.507142857142853
2020-06-05 08:36:58,23.502380952380953
2020-06-05 08:41:59,23.567460317460316
2020-06-05 08:46:50,23.388888888888893
2020-06-05 08:51:59,23.451587301587303
2020-06-05 08:56:51,23.309523809523814
2020-06-05 09:01:57,23.519841269841272
2020-06-05 09:07:00,23.51507936507937
2020-06-05 09:11:50,23.513492063492063
2020-06-05 09:16:58,23.327777777777776
2020-06-05 09:21:59,23.46746031746032
2020-06-05 09:26:50,23.419047619047618
2020-06-05 09:31:59,23.347619047619045
2020-06-05 09:36:51,23.476190476190474
2020-06-05 09:41:56,23.546031746031744
2020-06-05 09:46:58,23.457936507936505
2020-06-05 09:51:53,23.52460317460318
2020-06-05 09:56:55,23.412698412698408
2020-06-05 10:01:59,23.303968253968254
2020-06-05 10:06:51,23.408730158730158
2020-06-05 10:11:58,23.276190476190482
